algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile,throughput_direction,stall_direction
VQE,4,16,3,asap,next_cycle,8,1,2,8,5,15,1,93.333333,3.506849,4.654545,1.147696,32.727272,0.123288,0.254545,0.131257,-106.463727,0.438356,0.581818,0.143462,32.727281,0.438356,underutilized,stall_medium,mixed,W8_M8_F5,improved,worse
VQE,4,16,3,asap,next_cycle,8,1,2,8,6,15,1,93.333333,3.710145,5.446809,1.736664,46.808521,0.144928,0.170213,0.025285,-17.446594,0.463768,0.680851,0.217083,46.808534,0.463768,underutilized,stall_medium,mixed,W8_M8_F6,improved,worse
VQE,4,16,4,asap,next_cycle,8,1,2,8,4,15,1,93.333333,3.084337,3.820896,0.736559,23.880627,0.108434,0.358209,0.249775,-230.347492,0.385542,0.477612,0.09207,23.880667,0.385542,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
VQE,4,16,4,asap,next_cycle,8,1,2,8,5,15,1,93.333333,3.506849,4.654545,1.147696,32.727272,0.123288,0.254545,0.131257,-106.463727,0.438356,0.581818,0.143462,32.727281,0.438356,underutilized,stall_medium,mixed,W8_M8_F5,improved,worse
VQE,4,16,4,asap,next_cycle,8,1,2,8,6,15,1,93.333333,3.710145,5.446809,1.736664,46.808521,0.144928,0.170213,0.025285,-17.446594,0.463768,0.680851,0.217083,46.808534,0.463768,underutilized,stall_medium,mixed,W8_M8_F6,improved,worse
VQE,6,36,0,asap,next_cycle,8,1,2,8,4,35,1,97.142857,3.778426,3.963303,0.184877,4.892963,0.026239,0.434251,0.408012,-1554.983041,0.472303,0.495413,0.02311,4.893045,0.472303,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
VQE,6,36,0,asap,next_cycle,8,1,2,8,5,35,1,97.142857,4.628571,4.927757,0.299186,6.463896,0.042857,0.311787,0.26893,-627.505425,0.578571,0.61597,0.037399,6.464029,0.578571,active,stall_low,mixed,W8_M8_F5,improved,worse
VQE,6,36,0,asap,next_cycle,8,1,2,8,6,35,1,97.142857,5.377593,5.917808,0.540215,10.045665,0.049793,0.191781,0.141988,-285.156548,0.672199,0.739726,0.067527,10.045686,0.672199,active,stall_low,mixed,W8_M8_F6,improved,worse
VQE,6,36,0,asap,next_cycle,8,1,2,8,7,35,1,97.142857,6.056075,6.857143,0.801068,13.227511,0.074766,0.084656,0.00989,-13.227938,0.757009,0.857143,0.100134,13.227584,0.757009,active,stall_medium,mixed,W8_M8_F7,improved,worse
VQE,6,36,1,asap,next_cycle,8,1,2,8,4,35,1,97.142857,3.778426,3.963303,0.184877,4.892963,0.026239,0.434251,0.408012,-1554.983041,0.472303,0.495413,0.02311,4.893045,0.472303,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
VQE,6,36,1,asap,next_cycle,8,1,2,8,5,35,1,97.142857,4.628571,4.927757,0.299186,6.463896,0.042857,0.311787,0.26893,-627.505425,0.578571,0.61597,0.037399,6.464029,0.578571,active,stall_low,mixed,W8_M8_F5,improved,worse
VQE,6,36,1,asap,next_cycle,8,1,2,8,6,35,1,97.142857,5.377593,5.917808,0.540215,10.045665,0.049793,0.191781,0.141988,-285.156548,0.672199,0.739726,0.067527,10.045686,0.672199,active,stall_low,mixed,W8_M8_F6,improved,worse
VQE,6,36,1,asap,next_cycle,8,1,2,8,7,35,1,97.142857,6.056075,6.857143,0.801068,13.227511,0.074766,0.084656,0.00989,-13.227938,0.757009,0.857143,0.100134,13.227584,0.757009,active,stall_medium,mixed,W8_M8_F7,improved,worse
VQE,6,36,2,asap,next_cycle,8,1,2,8,4,35,1,97.142857,3.778426,3.963303,0.184877,4.892963,0.026239,0.434251,0.408012,-1554.983041,0.472303,0.495413,0.02311,4.893045,0.472303,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
VQE,6,36,2,asap,next_cycle,8,1,2,8,5,35,1,97.142857,4.628571,4.927757,0.299186,6.463896,0.042857,0.311787,0.26893,-627.505425,0.578571,0.61597,0.037399,6.464029,0.578571,active,stall_low,mixed,W8_M8_F5,improved,worse
VQE,6,36,2,asap,next_cycle,8,1,2,8,6,35,1,97.142857,5.377593,5.917808,0.540215,10.045665,0.049793,0.191781,0.141988,-285.156548,0.672199,0.739726,0.067527,10.045686,0.672199,active,stall_low,mixed,W8_M8_F6,improved,worse
VQE,6,36,2,asap,next_cycle,8,1,2,8,7,35,1,97.142857,6.056075,6.857143,0.801068,13.227511,0.074766,0.084656,0.00989,-13.227938,0.757009,0.857143,0.100134,13.227584,0.757009,active,stall_medium,mixed,W8_M8_F7,improved,worse
VQE,6,36,3,asap,next_cycle,8,1,2,8,4,35,1,97.142857,3.778426,3.963303,0.184877,4.892963,0.026239,0.434251,0.408012,-1554.983041,0.472303,0.495413,0.02311,4.893045,0.472303,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
VQE,6,36,3,asap,next_cycle,8,1,2,8,5,35,1,97.142857,4.628571,4.927757,0.299186,6.463896,0.042857,0.311787,0.26893,-627.505425,0.578571,0.61597,0.037399,6.464029,0.578571,active,stall_low,mixed,W8_M8_F5,improved,worse
VQE,6,36,3,asap,next_cycle,8,1,2,8,6,35,1,97.142857,5.377593,5.917808,0.540215,10.045665,0.049793,0.191781,0.141988,-285.156548,0.672199,0.739726,0.067527,10.045686,0.672199,active,stall_low,mixed,W8_M8_F6,improved,worse
VQE,6,36,3,asap,next_cycle,8,1,2,8,7,35,1,97.142857,6.056075,6.857143,0.801068,13.227511,0.074766,0.084656,0.00989,-13.227938,0.757009,0.857143,0.100134,13.227584,0.757009,active,stall_medium,mixed,W8_M8_F7,improved,worse
