dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,policy,l_meas,l_ff,meas_width,ff_width,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,throughput_asap,throughput_policy,throughput_vs_asap_pct,stall_asap,stall_policy,stall_vs_asap_pct
raw,QAOA,6,36,1,shifted_critical,1,1,8,4,73,73,2,3.931034,3.950495,0.495061,0.009852,0.009901,0.497361
raw,QAOA,6,36,1,stall_aware_shifted,1,1,8,4,73,73,2,3.931034,3.950495,0.495061,0.009852,0.009901,0.497361
raw,QAOA,6,36,1,asap,1,1,8,8,73,73,2,6.409639,6.409639,0.0,0.076305,0.076305,0.0
raw,QAOA,6,36,1,greedy_critical,1,1,8,8,73,73,2,6.409639,7.156951,11.65919,0.076305,0.058296,-23.601337
raw,QAOA,6,36,1,shifted_critical,1,1,8,8,73,73,2,6.409639,7.156951,11.65919,0.076305,0.058296,-23.601337
raw,QAOA,6,36,1,stall_aware_shifted,1,1,8,8,73,73,2,6.409639,7.156951,11.65919,0.076305,0.058296,-23.601337
raw,QAOA,6,36,1,asap,1,2,8,4,73,73,2,3.764151,3.764151,0.0,0.040094,0.040094,0.0
raw,QAOA,6,36,1,greedy_critical,1,2,8,4,73,73,2,3.764151,3.827338,1.678652,0.040094,0.016787,-58.130892
raw,QAOA,6,36,1,shifted_critical,1,2,8,4,73,73,2,3.764151,3.827338,1.678652,0.040094,0.01199,-70.095276
raw,QAOA,6,36,1,stall_aware_shifted,1,2,8,4,73,73,2,3.764151,3.8,0.952379,0.040094,0.038095,-4.985783
raw,QAOA,6,36,1,asap,1,2,8,8,73,73,2,5.198697,5.198697,0.0,0.114007,0.114007,0.0
raw,QAOA,6,36,1,greedy_critical,1,2,8,8,73,73,2,5.198697,5.373737,3.366998,0.114007,0.232323,103.779592
raw,QAOA,6,36,1,shifted_critical,1,2,8,8,73,73,2,5.198697,5.373737,3.366998,0.114007,0.23569,106.73292
