algorithm,hardware_size,logical_qubits,dag_variant,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,ff_chain_depth_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median,ff_chain_depth_shifted_median
QAOA,4,16,shifted,asap,next_cycle,8,2,2,8,8,5,318.0,47.0,2.0,6.765957,6.757979,6.786824,0.06383,0.060096,0.06383,0.845745,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,1,1,4,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.969512,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,1,1,4,8,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.969512,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,1,1,8,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.969512,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,1,1,8,8,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.969512,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,1,2,4,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,1,2,4,8,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,1,2,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,1,2,8,8,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,2,1,4,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,2,1,4,8,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,2,1,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,2,1,8,8,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.957831,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,2,2,4,4,5,318.0,84.0,2.0,3.785714,3.785714,3.809108,0.035714,0.033776,0.035714,0.946429,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,2,2,4,8,5,318.0,84.0,2.0,3.785714,3.785714,3.809108,0.035714,0.033776,0.035714,0.946429,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,2,2,8,4,5,318.0,84.0,2.0,3.785714,3.785714,3.809108,0.035714,0.033776,0.035714,0.946429,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,4,2,2,8,8,5,318.0,84.0,2.0,3.785714,3.785714,3.809108,0.035714,0.033776,0.035714,0.946429,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,1,4,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.484756,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,1,4,8,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.484756,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,1,8,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.329268,0.321187,0.334963,0.484756,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,1,8,8,5,318.0,42.0,2.0,7.571429,7.533399,7.571429,0.02381,0.022267,0.02381,0.946429,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,2,4,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.478916,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,2,4,8,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.478916,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,2,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.337349,0.317412,0.348612,0.478916,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,1,2,8,8,5,318.0,43.0,2.0,7.395349,7.369318,7.395349,0.046512,0.043561,0.046512,0.924419,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,1,4,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.478916,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,1,4,8,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.024096,0.022775,0.024096,0.478916,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,1,8,4,5,318.0,83.0,2.0,3.831325,3.831325,3.852485,0.337349,0.317412,0.348612,0.478916,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,1,8,8,5,318.0,43.0,2.0,7.395349,7.369318,7.395349,0.046512,0.043561,0.046512,0.924419,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,2,4,4,5,318.0,84.0,2.0,3.785714,3.785714,3.809108,0.035714,0.033776,0.035714,0.473214,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,2,4,8,5,318.0,84.0,2.0,3.785714,3.785714,3.809108,0.035714,0.033776,0.035714,0.473214,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,2,8,4,5,318.0,84.0,2.0,3.785714,3.785714,3.809108,0.322581,0.315477,0.331372,0.473214,34.0,2.0
QAOA,4,16,shifted,greedy_critical,next_cycle,8,2,2,8,8,5,318.0,45.0,2.0,7.066667,7.055072,7.073334,0.066667,0.062608,0.066667,0.883333,34.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,1,1,4,4,5,1614.0,427.0,76.0,3.825,3.747374,3.902455,0.0225,0.008261,0.031006,0.95625,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,1,1,4,8,5,1614.0,427.0,76.0,3.825,3.747374,3.902455,0.0225,0.008261,0.031006,0.95625,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,1,1,8,4,5,1614.0,427.0,76.0,3.825,3.747374,3.902455,0.0225,0.008261,0.031006,0.95625,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,1,1,8,8,5,1614.0,427.0,76.0,3.825,3.747374,3.902455,0.0225,0.008261,0.031006,0.95625,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,1,2,4,4,5,1614.0,446.0,76.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.902123,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,1,2,4,8,5,1614.0,446.0,76.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.902123,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,1,2,8,4,5,1614.0,446.0,76.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.902123,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,1,2,8,8,5,1614.0,446.0,76.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.902123,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,2,1,4,4,5,1614.0,446.0,76.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.902123,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,2,1,4,8,5,1614.0,446.0,76.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.902123,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,2,1,8,4,5,1614.0,446.0,76.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.902123,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,2,1,8,8,5,1614.0,446.0,76.0,3.608491,3.524735,3.740772,0.042453,0.033212,0.073508,0.902123,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,2,2,4,4,5,1614.0,471.0,76.0,3.311688,3.24179,3.501593,0.089669,0.06669,0.112326,0.827922,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,2,2,4,8,5,1614.0,471.0,76.0,3.311688,3.24179,3.501593,0.089669,0.06669,0.112326,0.827922,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,2,2,8,4,5,1614.0,471.0,76.0,3.311688,3.24179,3.501593,0.089669,0.06669,0.112326,0.827922,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,4,2,2,8,8,5,1614.0,471.0,76.0,3.311688,3.24179,3.501593,0.089669,0.06669,0.112326,0.827922,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,8,1,1,4,4,5,1614.0,427.0,76.0,3.825,3.747374,3.902455,0.0225,0.008261,0.031006,0.478125,76.0,2.0
