algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,10,100,layer,same_cycle,2,2,5,,,5,12042.0,6167.0,1.962136,1.953385,1.969537,0.00888,0.006458,0.013838,0.981068,217.0
QAOA,10,100,layer,same_cycle,2,3,1,,,5,12042.0,6101.0,1.977173,1.974639,1.979184,0.002152,0.001404,0.0036,0.988586,217.0
QAOA,10,100,layer,same_cycle,2,3,2,,,5,12042.0,6116.0,1.974275,1.969162,1.976885,0.003802,0.002224,0.006526,0.987138,217.0
QAOA,10,100,layer,same_cycle,2,3,3,,,5,12042.0,6137.0,1.969786,1.962279,1.97394,0.005938,0.003775,0.009836,0.984893,217.0
QAOA,10,100,layer,same_cycle,2,3,5,,,5,12042.0,6208.0,1.953286,1.942694,1.963363,0.013209,0.009643,0.019478,0.976643,217.0
QAOA,10,100,layer,same_cycle,4,1,1,,,5,12042.0,3103.0,3.883146,3.881783,3.886789,0.001302,0.000325,0.00177,0.970787,217.0
QAOA,10,100,layer,same_cycle,4,1,2,,,5,12042.0,3119.0,3.871648,3.860228,3.877929,0.003894,0.001934,0.007034,0.967912,217.0
QAOA,10,100,layer,same_cycle,4,1,3,,,5,12042.0,3152.0,3.845861,3.824746,3.860326,0.009677,0.005146,0.01442,0.961465,217.0
QAOA,10,100,layer,same_cycle,4,1,5,,,5,12042.0,3224.0,3.761166,3.718726,3.790769,0.023573,0.019755,0.034968,0.940292,217.0
QAOA,10,100,layer,same_cycle,4,2,1,,,5,12042.0,3119.0,3.871648,3.860228,3.877929,0.003894,0.001934,0.007034,0.967912,217.0
QAOA,10,100,layer,same_cycle,4,2,2,,,5,12042.0,3152.0,3.845861,3.824746,3.860326,0.009677,0.005146,0.01442,0.961465,217.0
QAOA,10,100,layer,same_cycle,4,2,3,,,5,12042.0,3184.0,3.808417,3.776883,3.832349,0.016332,0.011912,0.022219,0.952104,217.0
QAOA,10,100,layer,same_cycle,4,2,5,,,5,12042.0,3271.0,3.707123,3.656802,3.741273,0.037909,0.031603,0.051188,0.926781,217.0
QAOA,10,100,layer,same_cycle,4,3,1,,,5,12042.0,3152.0,3.845861,3.824746,3.860326,0.009677,0.005146,0.01442,0.961465,217.0
QAOA,10,100,layer,same_cycle,4,3,2,,,5,12042.0,3184.0,3.808417,3.776883,3.832349,0.016332,0.011912,0.022219,0.952104,217.0
QAOA,10,100,layer,same_cycle,4,3,3,,,5,12042.0,3224.0,3.761166,3.718726,3.790769,0.023573,0.019755,0.034968,0.940292,217.0
QAOA,10,100,layer,same_cycle,4,3,5,,,5,12042.0,3338.0,3.632714,3.588353,3.681597,0.051228,0.044266,0.064795,0.908179,217.0
QAOA,10,100,layer,same_cycle,8,1,1,,,5,12042.0,1624.0,7.466749,7.417938,7.48342,0.005646,0.002181,0.008605,0.933344,217.0
