algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,4,16,greedy_critical,next_cycle,1,1,3,,2,5,318.0,322.0,0.987578,0.987578,0.988316,0.009317,0.008763,0.009317,0.987578,34.0
QAOA,4,16,greedy_critical,next_cycle,1,1,3,,4,5,318.0,322.0,0.987578,0.987578,0.988316,0.009317,0.008763,0.009317,0.987578,34.0
QAOA,4,16,greedy_critical,next_cycle,1,1,3,,8,5,318.0,322.0,0.987578,0.987578,0.988316,0.009317,0.008763,0.009317,0.987578,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,1,,1,5,318.0,321.0,0.990654,0.990654,0.991211,0.006231,0.005859,0.006231,0.990654,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,1,,2,5,318.0,321.0,0.990654,0.990654,0.991211,0.006231,0.005859,0.006231,0.990654,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,1,,4,5,318.0,321.0,0.990654,0.990654,0.991211,0.006231,0.005859,0.006231,0.990654,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,1,,8,5,318.0,321.0,0.990654,0.990654,0.991211,0.006231,0.005859,0.006231,0.990654,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,2,,1,5,318.0,322.0,0.987578,0.987578,0.988316,0.009317,0.008763,0.009317,0.987578,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,2,,2,5,318.0,322.0,0.987578,0.987578,0.988316,0.009317,0.008763,0.009317,0.987578,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,2,,4,5,318.0,322.0,0.987578,0.987578,0.988316,0.009317,0.008763,0.009317,0.987578,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,2,,8,5,318.0,322.0,0.987578,0.987578,0.988316,0.009317,0.008763,0.009317,0.987578,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,3,,1,5,318.0,323.0,0.98452,0.98452,0.985437,0.012384,0.01165,0.012384,0.98452,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,3,,2,5,318.0,323.0,0.98452,0.98452,0.985437,0.012384,0.01165,0.012384,0.98452,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,3,,4,5,318.0,323.0,0.98452,0.98452,0.985437,0.012384,0.01165,0.012384,0.98452,34.0
QAOA,4,16,greedy_critical,next_cycle,1,2,3,,8,5,318.0,323.0,0.98452,0.98452,0.985437,0.012384,0.01165,0.012384,0.98452,34.0
QAOA,4,16,greedy_critical,next_cycle,2,1,1,,1,5,318.0,321.0,0.99375,0.992202,0.994123,0.140187,0.13757,0.15325,0.496875,34.0
QAOA,4,16,greedy_critical,next_cycle,2,1,1,,2,5,318.0,161.0,1.975155,1.975155,1.976632,0.006211,0.005843,0.006211,0.987578,34.0
QAOA,4,16,greedy_critical,next_cycle,2,1,1,,4,5,318.0,161.0,1.975155,1.975155,1.976632,0.006211,0.005843,0.006211,0.987578,34.0
QAOA,4,16,greedy_critical,next_cycle,2,1,1,,8,5,318.0,161.0,1.975155,1.975155,1.976632,0.006211,0.005843,0.006211,0.987578,34.0
