algorithm,hardware_size,logical_qubits,tau_ph_us,n_seeds,is_coupled,depth_raw_median,depth_raw_q1,depth_raw_q3,depth_raw_mean,depth_shifted_median,depth_shifted_q1,depth_shifted_q3,depth_reference_kind,depth_reference_median,depth_reference_q1,depth_reference_q3,t_ff_shifted_ns_median,t_ff_shifted_ns_q1,t_ff_shifted_ns_q3,hold_median,hold_q1,hold_q3,meas_median,meas_q1,meas_q3,t_ff_cond_ns_median,t_ff_cond_ns_q1,t_ff_cond_ns_q3,t_hold_ns_median,t_hold_ns_q1,t_hold_ns_q3,t_meas_ns_median,t_meas_ns_q1,t_meas_ns_q3,t_cons_ns_median,t_cons_ns_q1,t_cons_ns_q3,dominant_constraint
QAOA,8,36,1.0,5,False,76.0,73.0,80.5,76.6,2.0,2.0,2.0,,,,,500.0,500.0,500.0,29.0,28.5,30.0,27.0,27.0,28.5,13.157894736842104,12.461300309597522,13.698630136986301,34.48275862068966,33.370411568409345,35.09852216748769,37.03703703703704,35.09852216748769,37.03703703703704,13.157894736842104,12.461300309597522,13.698630136986301,dependency
QAOA,8,36,5.0,5,False,76.0,73.0,80.5,76.6,2.0,2.0,2.0,,,,,2500.0,2500.0,2500.0,29.0,28.5,30.0,27.0,27.0,28.5,65.78947368421052,62.30650154798761,68.4931506849315,172.41379310344828,166.85205784204672,175.49261083743843,185.1851851851852,175.49261083743843,185.1851851851852,65.78947368421052,62.30650154798761,68.4931506849315,dependency
QAOA,8,64,0.5,5,True,142.0,133.0,155.5,143.8,2.0,2.0,2.0,,,,,250.0,250.0,250.0,40.0,37.5,41.0,38.0,36.0,614.5,3.5211267605633805,3.222931520477533,3.7670650880870107,12.5,12.202380952380953,13.33570412517781,13.157894736842104,6.460260723296888,13.8996138996139,3.5211267605633805,1.8994499124860773,3.7670650880870107,dependency
QAOA,8,64,1.0,5,True,142.0,133.0,155.5,143.8,2.0,2.0,2.0,,,,,500.0,500.0,500.0,40.0,37.5,41.0,38.0,36.0,614.5,7.042253521126761,6.445863040955066,7.534130176174021,25.0,24.404761904761905,26.67140825035562,26.31578947368421,12.920521446593776,27.7992277992278,7.042253521126761,3.7988998249721546,7.534130176174021,dependency
QAOA,8,64,5.0,5,True,142.0,133.0,155.5,143.8,2.0,2.0,2.0,,,,,2500.0,2500.0,2500.0,40.0,37.5,41.0,38.0,36.0,614.5,35.2112676056338,32.229315204775325,37.670650880870106,125.0,122.02380952380952,133.35704125177807,131.57894736842104,64.60260723296888,138.996138996139,35.2112676056338,18.994499124860774,37.670650880870106,dependency
QAOA,10,36,0.5,5,False,76.0,73.0,80.5,76.6,2.0,2.0,2.0,,,,,250.0,250.0,250.0,27.0,26.0,27.0,26.0,25.0,108.0,6.578947368421052,6.230650154798761,6.8493150684931505,18.51851851851852,18.51851851851852,19.23076923076923,19.23076923076923,4.761904761904762,20.0,5.882352941176471,4.761904761904762,6.8493150684931505,dependency
QAOA,10,36,1.0,5,False,76.0,73.0,80.5,76.6,2.0,2.0,2.0,,,,,500.0,500.0,500.0,27.0,26.0,27.0,26.0,25.0,108.0,13.157894736842104,12.461300309597522,13.698630136986301,37.03703703703704,37.03703703703704,38.46153846153846,38.46153846153846,9.523809523809524,40.0,11.764705882352942,9.523809523809524,13.698630136986301,dependency
QAOA,10,36,5.0,5,False,76.0,73.0,80.5,76.6,2.0,2.0,2.0,,,,,2500.0,2500.0,2500.0,27.0,26.0,27.0,26.0,25.0,108.0,65.78947368421052,62.30650154798761,68.4931506849315,185.1851851851852,185.1851851851852,192.30769230769232,192.30769230769232,47.61904761904762,200.0,58.8235294117647,47.61904761904762,68.4931506849315,dependency
QAOA,10,64,0.5,5,False,142.0,133.0,155.5,143.8,2.0,2.0,2.0,,,,,250.0,250.0,250.0,34.0,33.5,34.5,33.0,32.5,33.0,3.5211267605633805,3.222931520477533,3.7670650880870107,14.705882352941176,14.495798319327731,14.928698752228165,15.151515151515152,15.151515151515152,15.388257575757576,3.5211267605633805,3.222931520477533,3.7670650880870107,dependency
QAOA,10,64,1.0,5,False,142.0,133.0,155.5,143.8,2.0,2.0,2.0,,,,,500.0,500.0,500.0,34.0,33.5,34.5,33.0,32.5,33.0,7.042253521126761,6.445863040955066,7.534130176174021,29.41176470588235,28.991596638655462,29.85739750445633,30.303030303030305,30.303030303030305,30.776515151515152,7.042253521126761,6.445863040955066,7.534130176174021,dependency
QAOA,10,64,5.0,5,False,142.0,133.0,155.5,143.8,2.0,2.0,2.0,,,,,2500.0,2500.0,2500.0,34.0,33.5,34.5,33.0,32.5,33.0,35.2112676056338,32.229315204775325,37.670650880870106,147.05882352941177,144.9579831932773,149.28698752228163,151.5151515151515,151.5151515151515,153.88257575757575,35.2112676056338,32.229315204775325,37.670650880870106,dependency
QAOA,10,100,0.5,5,True,217.0,212.5,226.0,218.8,2.0,2.0,2.0,,,,,250.0,250.0,250.0,52.0,50.0,56.5,51.0,48.5,55.5,2.304147465437788,2.2123893805309733,2.3530584222881696,9.615384615384615,8.866917765222851,10.01602564102564,9.803921568627452,9.02732595966168,10.319148936170212,2.304147465437788,2.2123893805309733,2.3530584222881696,dependency
QAOA,10,100,1.0,5,True,217.0,212.5,226.0,218.8,2.0,2.0,2.0,,,,,500.0,500.0,500.0,52.0,50.0,56.5,51.0,48.5,55.5,4.608294930875576,4.424778761061947,4.706116844576339,19.23076923076923,17.733835530445702,20.03205128205128,19.607843137254903,18.05465191932336,20.638297872340424,4.608294930875576,4.424778761061947,4.706116844576339,dependency
QAOA,10,100,5.0,5,True,217.0,212.5,226.0,218.8,2.0,2.0,2.0,,,,,2500.0,2500.0,2500.0,52.0,50.0,56.5,51.0,48.5,55.5,23.04147465437788,22.123893805309734,23.530584222881693,96.15384615384616,88.6691776522285,100.16025641025641,98.03921568627452,90.27325959661678,103.19148936170212,23.04147465437788,22.123893805309734,23.530584222881693,dependency
QAOA,12,64,0.5,5,False,142.0,133.0,155.5,143.8,2.0,2.0,2.0,,,,,250.0,250.0,250.0,31.0,30.5,32.0,30.0,29.0,95.0,3.5211267605633805,3.222931520477533,3.7670650880870107,16.129032258064516,15.640273704789834,16.397849462365592,16.666666666666668,9.636843173057414,17.24137931034483,3.5211267605633805,3.222931520477533,3.7670650880870107,dependency
QAOA,12,64,1.0,5,False,142.0,133.0,155.5,143.8,2.0,2.0,2.0,,,,,500.0,500.0,500.0,31.0,30.5,32.0,30.0,29.0,95.0,7.042253521126761,6.445863040955066,7.534130176174021,32.25806451612903,31.28054740957967,32.795698924731184,33.333333333333336,19.27368634611483,34.48275862068966,7.042253521126761,6.445863040955066,7.534130176174021,dependency
QAOA,12,64,5.0,5,False,142.0,133.0,155.5,143.8,2.0,2.0,2.0,,,,,2500.0,2500.0,2500.0,31.0,30.5,32.0,30.0,29.0,95.0,35.2112676056338,32.229315204775325,37.670650880870106,161.29032258064515,156.4027370478983,163.9784946236559,166.66666666666666,96.36843173057414,172.41379310344828,35.2112676056338,32.229315204775325,37.670650880870106,dependency
